新版序号	risk	risk
T577	high	high
T160	high	high
T373	high	high
T473	high	high
T231	high	high
T434	high	high
T563	high	high
T26	high	high
T330	high	high
T273	high	high
T551	high	high
T607	high	high
T467	high	high
T6	high	high
T318	high	high
T613	high	high
T229	high	high
T250	high	high
T139	high	high
T587	high	high
T123	high	high
T28	high	high
T178	high	high
T340	high	high
T342	high	high
T405	high	high
T186	high	high
T576	high	high
T727	high	high
T120	high	high
T314	high	high
T312	high	high
T608	high	high
T64	high	high
T265	high	high
T162	high	high
T637	high	high
T661	high	high
T289	high	high
T133	high	high
T12	high	high
T565	high	high
T71	high	high
T326	high	high
T124	high	high
T19	high	high
T595	high	high
T600	high	high
T182	high	high
T339	high	high
T508	high	high
T201	high	high
T300	high	high
T513	high	high
T58	high	high
T659	high	high
T132	high	high
T31	high	high
T283	high	high
T286	high	high
T399	high	high
T233	high	high
T408	high	high
T216	high	high
T232	high	high
T202	high	high
T62	high	high
T574	low	low
T391	low	low
T172	low	low
T23	low	low
T375	low	low
T60	low	low
T209	low	low
T319	low	low
T480	low	low
T50	low	low
T393	low	low
T10	low	low
T487	low	low
T585	low	low
T643	low	low
T114	low	low
T496	low	low
T509	low	low
T34	low	low
T103	low	low
T482	low	low
T325	low	low
T85	low	low
T334	low	low
T335	low	low
T69	low	low
T705	low	low
T84	low	low
T210	low	low
T1	low	low
T258	low	low
T92	low	low
T61	low	low
T728	low	low
T502	low	low
T166	low	low
T109	low	low
T54	low	low
T237	low	low
T431	low	low
T716	low	low
T271	low	low
T125	low	low
T167	low	low
T384	low	low
T47	low	low
T279	low	low
T349	low	low
T57	low	low
T67	low	low
T378	low	low
T18	low	low
T329	low	low
T96	low	low
T185	low	low
T521	low	low
T605	low	low
T72	low	low
T515	low	low
T558	low	low
T198	low	low
T438	low	low
T32	low	low
T78	low	low
T729	low	low
T498	low	low
T111	low	low